Cow,GS,all_click_worker_mean,all_click_worker_sd,sampled_click_worker_mean,sampled_click_worker_sd,sampled_delete_click_worker_mean,sampled_delete_click_worker_sd,sampled_exchange0_click_worker_mean,sampled_exchange0_click_worker_sd,sampled_ind_exchange0_click_worker_mean,sampled_ind_exchange0_click_worker_sd,sampled_milestone_min_click_worker_mean,sampled_milestone_min_click_worker_sd,sampled_milestone_max_click_worker_mean,sampled_milestone_max_click_worker_sd,DW_experts_mean,DW_experts_sd,NV_experts_mean,NV_experts_sd,NV_DW_experts_mean,NV_DW_experts_sd,SB_experts_mean,SB_experts_sd,KI_experts_mean,KI_experts_sd,NV_DW_SB_KI_experts_mean,NV_DW_SB_KI_experts_sd
5087,3.866666667,25.6848581,0.285759612,25.74066514,0.370283709,26.1591803,0.262795856,25.72370897,0.347194241,22.91157934,0.439089311,28.01115787,0.246202621,25.72242015,0.398465339,25.22177574,1.134802628,26.04389517,0.937189559,26.37995948,0.750900723,25.15924718,1.277974654,24.9422737,0.962077361,26.53172003,0.488506066
6088,3.533333333,22.5219097,0.331615327,22.08413005,0.429391153,22.37569086,0.340092462,21.96811707,0.399933628,18.19610709,0.434414584,20.04463721,1.30005638,19.4888398,1.280680128,23.57321594,1.304487919,24.67986757,1.019832852,24.67667462,0.88819739,20.4779612,1.462909132,24.3253947,0.996274659,24.01227548,0.550745808
4035,3.066666667,25.39645541,0.284042804,25.51471296,0.374873651,25.63035143,0.290190006,25.43338158,0.351241314,22.06658478,0.452154989,26.00170821,0.324696883,25.62133062,0.391090758,25.90988591,1.084479986,25.41492192,0.97895637,26.33212979,0.755763586,25.95605682,1.151196791,26.60567249,0.8886852,27.28050056,0.453618156
6086,2.933333333,18.2421736,0.372870398,17.83350239,0.468008905,19.57995619,0.749114843,17.01255701,0.509605768,16.12178645,0.434947405,18.24670621,0.721315743,18.52378798,0.541380944,14.28617435,1.571735732,22.64784584,1.026162129,19.23309801,1.006667221,20.62366284,1.467225026,22.44363258,1.02965805,20.69132503,0.573380515
6095,2.666666667,17.18063616,0.31444782,17.12149373,0.441088308,17.48230764,0.885021945,16.25957244,0.443539583,15.34128001,0.42738883,18.62598793,1.322727828,18.75308523,1.271786622,16.12605821,1.47619257,21.44036028,1.143510145,18.92199611,1.035111543,19.91526577,1.470245377,21.26361323,1.038771181,20.07463475,0.703165203
6068,2.6,16.33828374,0.378766876,16.59875346,0.450828336,18.4295817,0.641418801,16.11021324,0.433740015,14.77711179,0.399210693,16.14519652,1.414015071,15.86880554,1.380536784,10.53746957,1.391589948,17.74588839,1.285576458,14.0114913,1.086918068,14.15628971,1.404153308,12.45392341,1.037052766,13.9006189,0.696461126
7116,2.533333333,24.37953701,0.28930186,24.25885543,0.399894691,24.44700057,0.328716447,24.07000626,0.376471563,20.62960853,0.447707879,24.36778668,0.847612483,23.13043775,0.976538846,24.34666017,1.239637184,20.54846885,1.123253422,22.78511759,0.954979471,21.38280965,1.403683917,23.97610266,1.058327764,23.11082861,0.561140457
6053,2.466666667,12.5595901,0.548022351,12.79602461,0.423637842,15.26469641,0.996753597,12.52340047,0.515679026,12.83013892,0.413400642,12.60819379,1.413967444,12.11518725,1.418099415,14.02545489,1.363433306,17.34188414,1.066223917,15.40132387,1.010881333,10.699015,1.331935456,13.295622,1.08201428,13.13278803,0.872433622
6062,2.466666667,11.4899557,0.361942325,11.53156099,0.410379769,10.2867831,0.933703466,11.49376547,0.561779279,12.62932674,0.395294994,11.29356117,1.388325177,11.37819801,1.383109076,13.66493093,1.395856629,12.65078208,1.192362147,13.08377592,0.990490626,11.7653783,1.276002131,18.76766642,1.190256368,14.11609781,0.802440817
6096,2.4,12.09906975,0.338965656,12.0704832,0.406948239,10.97322504,0.988515988,11.44257478,0.468008078,12.66056699,0.411260258,11.68224271,0.472739453,11.80128289,0.382857468,12.79836427,1.481038973,18.3489497,1.121912368,15.6575007,1.024836692,12.81656339,1.402860884,14.43875611,1.071687051,14.34867581,0.827555637
