"Cow","borda_score","NV_DW_SB_KI_experts_mean","GS"
4008,73,19.99941037,2.2
4026,57,17.47007726,2.2
4035,112,27.28050056,3.06666666666667
5064,17,11.0771188,2.13333333333333
5087,108,26.53172003,3.86666666666667
5118,22,10.29852207,2.26666666666667
6025,42,13.89591855,2.33333333333333
6029,4,7.580196538,2.06666666666667
6046,8,9.026231322,2.13333333333333
6053,34,13.13278803,2.46666666666667
6062,34,14.11609781,2.46666666666667
6068,37,13.9006189,2.6
6086,76,20.69132503,2.93333333333333
6088,95,24.01227548,3.53333333333333
6092,2,9.255304195,2.06666666666667
6094,17,11.54125332,2.13333333333333
6095,75,20.07463475,2.66666666666667
6096,42,14.34867581,2.4
7045,2,7.410988251,2
7060,7,9.213625453,2.33333333333333
7064,29,12.72072133,2.26666666666667
7109,23,12.31813384,2.13333333333333
7114,26,12.59577339,2
7116,91,23.11082861,2.53333333333333
7128,24,11.03198885,2.26666666666667
7136,15,9.365881822,2.13333333333333
7138,39,13.7751337,2.33333333333333
7153,15,11.32749114,2.06666666666667
7163,18,10.80049119,2.13333333333333
8083,56,17.09627362,2.26666666666667
